User ID,Heart Rate (BPM),Blood Oxygen Level (%),Step Count,Sleep Duration (hours),Activity Level,Activity Level (Steps),Stress Level
3824,78,97.9,2594,6.6,Highly Active,Sedentary,10
4417,82,97.1,547,7.0,Highly Active,Sedentary,5
3612,69,100.0,4375,6.1,Active,Sedentary,2
3945,75,100.0,3124,4.2,Active,Sedentary,1
2363,89,98.6,8698,5.2,Active,Active,2
3139,43,95.4,139,6.0,Sedentary,Sedentary,3
2390,73,96.8,12463,7.2,Sedentary,Highly Active,5
4003,59,92.9,3772,3.9,Highly Active,Sedentary,2
2478,103,100.0,4440,3.0,Active,Sedentary,7
4499,41,96.9,1413,6.5,Highly Active,Sedentary,4
3556,81,100.0,19406,7.4,Active,Highly Active,2
1775,76,96.9,3556,5.2,Highly Active,Sedentary,1
1034,87,97.6,12948,6.1,Sedentary,Highly Active,5
3253,79,97.2,1897,5.9,Active,Sedentary,4
4152,106,94.8,711,6.9,Sedentary,Sedentary,10
2955,88,94.7,7069,5.7,Highly Active,Low Active,7
2585,47,100.0,29130,4.8,Highly Active,Highly Active,2
4943,96,96.5,7287,7.2,Highly Active,Low Active,1
4459,78,99.5,6568,9.2,Sedentary,Low Active,9
4073,96,100.0,4086,7.3,Highly Active,Sedentary,2
2021,70,97.2,2336,6.5,Highly Active,Sedentary,7
4461,59,98.9,3945,6.2,Active,Sedentary,9
3613,56,98.6,1129,5.3,Highly Active,Sedentary,8
2129,90,98.7,2125,5.9,Unknown,Sedentary,4
4843,86,99.0,4677,7.1,Highly Active,Sedentary,8
4893,66,95.6,1094,8.3,Highly Active,Sedentary,2
2500,40,95.1,10975,8.3,Active,Highly Active,4
1702,91,97.9,81,6.8,Active,Sedentary,6
3449,44,100.0,2716,6.8,Active,Sedentary,6
2579,53,95.2,18510,7.4,Highly Active,Highly Active,2
1161,75,99.2,5964,6.6,Sedentary,Low Active,2
1201,78,98.5,2445,6.6,Active,Sedentary,6
2981,75,98.3,3039,5.2,Unknown,Sedentary,6
1995,79,98.2,2899,5.2,Active,Sedentary,9
3317,76,98.6,1392,5.5,Sedentary,Sedentary,5
4934,68,97.9,1095,6.9,Active,Sedentary,9
1815,71,96.8,4586,6.0,Sedentary,Sedentary,9
4342,65,97.6,2205,10.4,Highly Active,Sedentary,4
1455,76,94.3,674,7.1,Highly Active,Sedentary,10
4533,48,99.0,1707,8.9,Sedentary,Sedentary,8
4798,79,99.0,5148,8.7,Highly Active,Low Active,10
2275,73,100.0,2078,7.1,Sedentary,Sedentary,9
2016,87,99.2,1900,6.4,Sedentary,Sedentary,9
4773,70,97.6,6785,5.2,Highly Active,Low Active,3
3343,84,99.0,8185,5.6,Active,Active,1
4796,83,97.4,1932,7.8,Active,Sedentary,6
3767,72,96.7,4472,6.9,Active,Sedentary,6
4820,80,93.2,10124,5.5,Highly Active,Highly Active,10
1337,54,98.8,8196,6.2,Highly Active,Active,4
1878,95,99.0,502,7.0,Sedentary,Sedentary,9
1791,72,100.0,8993,6.1,Active,Active,3
4993,59,98.7,1384,6.4,Active,Sedentary,2
3264,63,95.5,1526,2.9,Active,Sedentary,10
1763,99,95.6,6963,6.5,Active,Low Active,7
3235,77,98.4,2336,4.9,Active,Sedentary,2
1379,70,99.8,2738,7.0,Sedentary,Sedentary,1
1492,70,99.9,5178,6.7,Highly Active,Low Active,4
4112,75,97.1,9720,7.6,Sedentary,Active,2
2180,85,93.8,4828,7.6,Highly Active,Sedentary,10
3062,77,98.0,15672,9.1,Sedentary,Highly Active,10
4884,78,98.0,789,3.5,Sedentary,Sedentary,3
1064,61,98.7,9821,6.3,Active,Active,6
4928,70,97.5,4966,3.4,Highly Active,Highly Active,6
4910,77,97.4,11875,7.2,Sedentary,Highly Active,9
3568,74,99.0,2662,6.2,Sedentary,Sedentary,7
2367,68,97.3,4605,5.8,Active,Sedentary,4
2152,67,100.0,12144,6.9,Active,Highly Active,4
3027,81,97.6,12477,4.9,Active,Highly Active,10
3695,81,94.5,3301,6.5,Highly Active,Sedentary,4
2495,89,92.9,12089,6.1,Active,Highly Active,7
4134,77,99.1,8028,6.6,Sedentary,Active,5
2162,43,99.3,3686,6.3,Sedentary,Sedentary,9
2522,110,99.2,24477,7.9,Sedentary,Highly Active,9
3640,74,95.4,219,4.7,Highly Active,Sedentary,6
1391,68,96.2,3376,7.7,Highly Active,Sedentary,7
2698,74,100.0,2566,5.7,Active,Sedentary,10
1418,69,97.6,19215,5.7,Sedentary,Highly Active,2
3336,62,96.8,733,7.8,Highly Active,Sedentary,9
1378,84,100.0,6922,6.1,Active,Low Active,10
2796,72,95.9,8826,7.4,Sedentary,Active,8
4561,73,97.2,1424,7.4,Highly Active,Sedentary,5
3278,40,100.0,1137,6.0,Highly Active,Sedentary,8
4065,71,100.0,343,6.8,Highly Active,Sedentary,4
3088,58,100.0,1211,5.8,Sedentary,Sedentary,7
4099,75,99.5,11559,6.5,Highly Active,Highly Active,7
3182,78,100.0,20171,7.2,Active,Highly Active,5
1200,65,99.9,16218,5.1,Highly Active,Highly Active,2
3996,67,98.7,3182,7.2,Active,Sedentary,9
1779,76,98.0,9059,6.5,Highly Active,Active,8
3977,67,97.4,12283,4.3,Sedentary,Highly Active,4
4104,59,95.5,11717,5.4,Active,Highly Active,6
4119,49,93.6,453,5.5,Sedentary,Sedentary,3
1502,80,99.9,1692,5.8,Active,Sedentary,4
3454,67,97.8,19571,5.1,Highly Active,Highly Active,3
4645,50,96.3,9426,7.9,Active,Active,9
1804,80,100.0,5052,5.3,Sedentary,Low Active,8
3146,57,97.7,3495,4.8,Highly Active,Sedentary,4
3731,64,99.1,7373,6.5,Active,Low Active,1
2895,90,97.9,4481,6.5,Sedentary,Sedentary,7
3773,75,97.3,3276,9.7,Active,Sedentary,4
2570,68,100.0,2992,5.5,Highly Active,Sedentary,4
1960,86,98.5,1203,3.1,Sedentary,Sedentary,3
4810,72,95.5,5276,4.3,Unknown,Low Active,7
3660,93,98.7,5135,3.8,Sedentary,Low Active,2
2485,68,99.3,6254,7.1,Sedentary,Low Active,5
3690,66,100.0,864,6.6,Active,Sedentary,7
4840,75,98.6,17249,6.8,Sedentary,Highly Active,1
2028,89,98.1,9485,8.2,Active,Active,3
4289,78,99.0,982,8.9,Sedentary,Sedentary,10
1502,76,95.9,578,7.8,Highly Active,Sedentary,10
3814,62,100.0,7208,7.6,Highly Active,Low Active,2
1397,60,100.0,2924,4.3,Highly Active,Sedentary,4
1870,89,98.0,2689,5.7,Sedentary,Sedentary,6
3842,91,98.6,12827,8.6,Highly Active,Highly Active,4
1392,90,95.2,2963,5.7,Highly Active,Sedentary,3
1206,86,98.1,7001,8.2,Active,Low Active,2
2038,81,99.0,5391,6.7,Active,Low Active,4
2881,81,95.9,2135,7.7,Active,Sedentary,2
4625,77,96.9,2820,5.2,Highly Active,Sedentary,6
3939,83,97.0,20076,7.6,Sedentary,Highly Active,10
2484,74,96.7,2817,5.5,Sedentary,Sedentary,5
4762,75,100.0,10727,6.8,Highly Active,Highly Active,4
4646,88,97.7,13826,6.5,Highly Active,Highly Active,3
1863,56,100.0,515,8.3,Sedentary,Sedentary,3
3790,91,97.0,7615,7.7,Unknown,Active,2
4312,74,97.3,9683,3.9,Highly Active,Active,7
1563,96,98.1,3984,5.3,Active,Sedentary,9
2020,94,98.4,5896,5.5,Sedentary,Low Active,1
1095,59,95.9,1235,7.5,Sedentary,Sedentary,9
2923,75,98.7,4966,5.8,Highly Active,Highly Active,8
2757,47,95.8,8609,4.9,Sedentary,Active,10
3532,69,100.0,6459,4.5,Highly Active,Low Active,1
4478,80,96.9,1026,7.6,Highly Active,Sedentary,1
3278,87,99.7,30988,3.4,Sedentary,Highly Active,6
3796,76,96.9,19440,8.1,Sedentary,Highly Active,7
2678,81,100.0,1776,4.6,Active,Sedentary,9
4242,64,97.1,14562,5.8,Sedentary,Highly Active,10
1540,74,97.9,2175,4.7,Highly Active,Sedentary,6
2059,66,97.5,5806,5.1,Highly Active,Low Active,5
3572,79,97.4,10664,6.2,Active,Highly Active,2
2183,95,95.1,2952,6.5,Sedentary,Sedentary,7
4910,74,96.5,5670,4.2,Highly Active,Low Active,1
2722,54,98.7,4189,5.9,Highly Active,Sedentary,4
4314,77,99.1,9995,6.7,Highly Active,Active,5
4157,85,95.7,4559,7.2,Highly Active,Sedentary,6
2819,61,96.7,5857,3.4,Active,Low Active,1
3625,93,97.8,13075,5.8,Highly Active,Highly Active,9
3729,66,98.2,8396,3.4,Highly Active,Active,9
3604,63,98.8,5248,5.7,Active,Low Active,4
2597,48,100.0,4330,5.9,Sedentary,Sedentary,1
4060,79,98.7,948,7.4,Sedentary,Sedentary,8
3693,102,96.0,406,8.0,Highly Active,Sedentary,8
1795,80,99.4,21369,5.0,Sedentary,Highly Active,7
2051,63,100.0,1445,6.9,Highly Active,Sedentary,10
2643,82,94.8,2269,7.5,Active,Sedentary,3
4627,87,98.9,6608,5.4,Sedentary,Low Active,2
2363,92,100.0,12318,7.7,Highly Active,Highly Active,7
4869,56,96.7,12534,6.7,Sedentary,Highly Active,10
2981,98,99.4,12389,6.1,Active,Highly Active,7
2354,78,96.6,26745,6.7,Highly Active,Highly Active,5
2663,101,97.4,401,4.1,Active,Sedentary,9
2529,77,96.2,3574,6.7,Active,Sedentary,7
3038,83,99.2,17140,5.2,Sedentary,Highly Active,8
4419,60,99.5,4409,6.5,Active,Sedentary,6
2496,89,98.8,14351,5.9,Sedentary,Highly Active,1
4302,58,99.2,124,6.9,Highly Active,Sedentary,9
3237,79,99.4,4913,8.3,Sedentary,Sedentary,7
4296,68,100.0,17898,6.7,Highly Active,Highly Active,10
2408,73,96.8,2119,8.0,Sedentary,Sedentary,8
2400,91,92.9,18580,5.0,Active,Highly Active,2
2306,69,97.2,59,8.7,Sedentary,Sedentary,7
3680,91,97.2,575,5.0,Highly Active,Sedentary,10
1972,76,98.0,787,6.1,Active,Sedentary,3
2768,107,98.5,1789,5.8,Highly Active,Sedentary,4
2282,76,100.0,2472,4.1,Sedentary,Sedentary,10
4430,73,98.0,4597,4.8,Active,Sedentary,9
2479,70,96.6,17870,4.5,Highly Active,Highly Active,5
2434,75,99.4,15201,5.5,Active,Highly Active,10
1648,105,97.8,9650,8.7,Active,Active,10
1317,68,96.9,7537,7.6,Highly Active,Active,3
4748,52,98.1,1600,7.0,Highly Active,Sedentary,6
4296,72,99.7,6446,9.7,Highly Active,Low Active,5
4890,80,97.8,1113,3.8,Highly Active,Sedentary,6
2257,71,97.7,4219,6.4,Active,Sedentary,4
1683,74,97.9,4333,9.6,Sedentary,Sedentary,5
1663,72,98.5,8191,6.5,Active,Active,1
2998,81,98.4,12618,5.3,Active,Highly Active,8
4898,87,98.4,2704,7.7,Highly Active,Sedentary,5
4445,72,95.6,294,5.7,Sedentary,Sedentary,9
4743,113,97.7,336,8.4,Sedentary,Sedentary,10
2631,75,100.0,14546,7.7,Highly Active,Highly Active,3
2495,74,99.2,4663,6.2,Highly Active,Sedentary,6
4304,55,100.0,1995,8.0,Highly Active,Sedentary,3
4763,76,98.8,229,6.1,Highly Active,Sedentary,7
2136,87,98.4,5266,6.7,Highly Active,Low Active,1
2853,87,100.0,1032,7.4,Sedentary,Sedentary,6
2520,75,97.1,3777,5.9,Sedentary,Sedentary,4
3489,76,97.0,5080,8.8,Active,Low Active,2
1563,67,100.0,1822,6.6,Sedentary,Sedentary,6
2291,97,99.8,1551,6.9,Sedentary,Sedentary,1
4581,76,97.4,140,4.5,Highly Active,Sedentary,4
4878,40,96.7,6165,5.5,Active,Low Active,1
4457,80,95.9,1565,6.7,Highly Active,Sedentary,8
4458,45,97.4,14739,7.8,Highly Active,Highly Active,3
4184,81,99.8,6480,8.6,Highly Active,Low Active,2
2636,113,93.7,5690,4.9,Active,Low Active,8
4696,95,100.0,4917,5.3,Sedentary,Sedentary,6
3999,75,99.4,1697,4.7,Sedentary,Sedentary,7
4152,65,95.9,24409,7.2,Active,Highly Active,10
1698,94,98.1,23888,8.6,Sedentary,Highly Active,5
3160,84,97.0,2712,6.3,Sedentary,Sedentary,1
2781,70,96.2,10479,6.6,Highly Active,Highly Active,8
1641,66,98.6,888,6.7,Highly Active,Sedentary,5
3267,61,99.1,10615,5.8,Active,Highly Active,6
2589,80,99.5,2361,4.7,Sedentary,Sedentary,2
1854,68,94.4,2388,8.1,Sedentary,Sedentary,6
2759,77,97.1,4954,6.7,Sedentary,Sedentary,6
4296,88,99.2,3486,5.7,Sedentary,Sedentary,9
3432,68,99.9,877,11.0,Active,Sedentary,7
4474,84,98.5,6293,6.5,Active,Low Active,8
2661,93,100.0,1684,3.9,Active,Sedentary,3
2153,80,98.4,4114,7.5,Active,Sedentary,4
2076,85,99.1,1838,3.7,Highly Active,Sedentary,10
2707,81,96.3,13643,7.2,Highly Active,Highly Active,8
3777,75,99.5,2887,7.2,Highly Active,Sedentary,10
2695,87,95.4,15293,8.6,Active,Highly Active,10
2733,99,96.0,2762,5.0,Active,Sedentary,3
2439,87,96.5,1384,6.1,Sedentary,Sedentary,8
3294,75,100.0,6016,6.4,Active,Low Active,3
1835,72,97.3,5669,7.8,Sedentary,Low Active,8
4510,73,98.9,6753,7.2,Highly Active,Low Active,2
1202,89,99.1,2518,7.3,Highly Active,Sedentary,1
4255,67,99.1,2699,8.3,Active,Sedentary,3
1122,59,96.0,1897,6.2,Active,Sedentary,8
1400,82,98.7,18456,8.7,Sedentary,Highly Active,6
1766,75,96.1,8040,6.4,Sedentary,Active,4
3327,41,100.0,1511,5.8,Sedentary,Sedentary,5
4908,78,97.5,7584,7.4,Highly Active,Active,5
3931,68,97.6,10067,8.2,Sedentary,Highly Active,5
4681,87,100.0,2934,4.9,Highly Active,Sedentary,1
1197,70,99.7,1201,7.9,Sedentary,Sedentary,7
4029,66,96.9,8358,6.5,Active,Active,3
2930,89,98.7,6611,9.6,Active,Low Active,7
4582,94,99.2,5999,6.1,Highly Active,Low Active,9
3799,73,95.5,1411,6.9,Sedentary,Sedentary,5
3191,73,96.7,2131,6.3,Sedentary,Sedentary,5
1608,94,97.5,6863,7.5,Active,Low Active,1
4272,92,98.2,6655,3.2,Active,Low Active,10
2147,90,100.0,5663,4.4,Sedentary,Low Active,7
1186,68,96.8,10231,7.5,Sedentary,Highly Active,5
4397,65,100.0,11798,6.5,Active,Highly Active,10
3511,99,99.1,2265,3.5,Highly Active,Sedentary,10
4420,84,95.0,1200,5.5,Active,Sedentary,2
2794,63,98.8,1572,6.5,Active,Sedentary,1
1659,73,100.0,2312,5.8,Active,Sedentary,8
3811,76,97.8,20661,7.9,Active,Highly Active,3
4002,73,96.7,1032,8.4,Highly Active,Sedentary,3
2955,70,97.1,14769,3.1,Highly Active,Highly Active,2
3450,93,99.2,1591,6.3,Highly Active,Sedentary,7
2369,200,95.4,2998,6.7,Highly Active,Sedentary,9
2986,108,100.0,941,4.3,Active,Sedentary,4
2534,94,100.0,763,8.4,Sedentary,Sedentary,4
1146,77,99.6,699,7.1,Highly Active,Sedentary,6
4219,96,95.9,2937,7.8,Active,Sedentary,4
3911,80,100.0,5191,5.8,Sedentary,Low Active,7
2734,111,100.0,1569,5.3,Sedentary,Sedentary,6
2843,70,100.0,18887,5.6,Sedentary,Highly Active,9
1488,81,98.9,6180,6.3,Highly Active,Low Active,5
3976,65,98.3,15143,5.9,Highly Active,Highly Active,4
2959,69,98.9,1127,7.9,Highly Active,Sedentary,3
2663,69,99.3,1084,10.5,Active,Sedentary,10
3598,93,100.0,13129,7.4,Sedentary,Highly Active,8
3385,78,95.6,5875,3.6,Sedentary,Low Active,8
3919,75,98.8,19530,6.7,Highly Active,Highly Active,10
1640,76,99.4,1112,4.7,Sedentary,Sedentary,3
2802,60,100.0,184,5.9,Highly Active,Sedentary,10
3520,68,97.7,17385,6.4,Highly Active,Highly Active,5
2969,92,98.5,8400,6.1,Active,Active,1
3198,54,98.1,11521,4.9,Highly Active,Highly Active,9
2438,75,98.9,2456,7.3,Highly Active,Sedentary,7
4369,50,97.2,21,3.5,Sedentary,Sedentary,4
2634,69,99.6,4616,7.1,Highly Active,Sedentary,2
1262,49,99.1,32242,5.1,Highly Active,Highly Active,3
2787,50,95.4,16666,6.9,Highly Active,Highly Active,7
3191,71,96.0,523,4.5,Sedentary,Sedentary,1
3393,79,98.0,1455,6.8,Active,Sedentary,4
1623,61,100.0,2609,8.6,Active,Sedentary,7
2016,80,97.8,12420,5.6,Active,Highly Active,9
4643,76,96.3,12189,5.6,Sedentary,Highly Active,4
1880,83,96.9,1432,7.1,Sedentary,Sedentary,7
3049,59,99.3,5331,6.5,Highly Active,Low Active,4
3944,104,100.0,4877,4.4,Highly Active,Sedentary,2
2327,57,97.0,3744,8.2,Highly Active,Sedentary,2
3301,65,98.7,5373,7.7,Sedentary,Low Active,7
4723,82,97.2,2424,8.4,Sedentary,Sedentary,4
1452,76,99.6,5308,7.3,Active,Low Active,6
4108,87,98.0,8099,9.3,Sedentary,Active,6
2183,70,99.9,451,3.7,Highly Active,Sedentary,2
4062,56,93.0,23943,8.8,Active,Highly Active,9
3056,52,99.6,1264,5.9,Sedentary,Sedentary,10
4304,101,97.8,3127,5.7,Sedentary,Sedentary,4
4170,70,98.0,4452,5.4,Sedentary,Sedentary,10
2682,72,98.0,292,7.3,Active,Sedentary,8
3863,102,95.7,5564,7.7,Active,Low Active,4
3255,67,98.4,14280,5.8,Active,Highly Active,8
1403,59,98.5,2763,10.6,Active,Sedentary,8
3199,55,95.1,5727,5.5,Active,Low Active,6
3101,103,98.4,10497,5.9,Highly Active,Highly Active,10
4191,103,99.0,2040,8.6,Active,Sedentary,3
2696,90,97.2,5262,4.1,Highly Active,Low Active,3
4991,89,92.0,3197,6.9,Unknown,Sedentary,7
1627,86,97.0,3325,2.9,Sedentary,Sedentary,8
1586,63,98.0,692,4.4,Active,Sedentary,9
2648,79,97.8,3656,4.7,Highly Active,Sedentary,2
2443,219,95.5,1227,5.2,Highly Active,Sedentary,9
2445,40,95.4,2509,4.6,Active,Sedentary,8
1103,91,99.5,2806,6.8,Active,Sedentary,10
4923,83,98.3,3942,8.6,Unknown,Sedentary,6
1253,55,99.0,17415,9.6,Sedentary,Highly Active,5
4298,69,96.9,6978,5.0,Sedentary,Low Active,2
4183,90,97.0,25673,7.6,Sedentary,Highly Active,5
3557,76,96.7,6252,8.3,Sedentary,Low Active,4
2496,49,98.0,11460,6.7,Active,Highly Active,6
1098,56,97.1,12576,7.6,Highly Active,Highly Active,1
2884,75,96.6,7758,7.2,Sedentary,Active,10
3961,90,98.4,3787,5.4,Highly Active,Sedentary,2
2919,102,96.0,5863,3.5,Sedentary,Low Active,6
1877,68,98.7,1507,6.0,Highly Active,Sedentary,2
1337,80,94.9,6740,5.3,Sedentary,Low Active,4
4777,45,98.6,5055,6.1,Active,Low Active,9
3869,65,97.8,11419,7.9,Active,Highly Active,10
4234,83,98.6,16298,8.7,Highly Active,Highly Active,6
4791,72,98.6,997,6.7,Highly Active,Sedentary,8
1956,81,96.0,8218,4.7,Sedentary,Active,2
2704,75,98.1,20976,5.9,Sedentary,Highly Active,8
1160,83,95.7,17497,5.3,Highly Active,Highly Active,6
2603,79,97.2,12588,6.7,Highly Active,Highly Active,1
3848,77,99.9,346,5.8,Active,Sedentary,8
1397,75,96.0,2036,7.9,Active,Sedentary,4
2300,61,97.9,1123,5.2,Highly Active,Sedentary,8
1815,95,96.4,18314,9.8,Highly Active,Highly Active,5
4987,86,98.6,9673,6.5,Active,Active,2
2527,63,99.8,5311,7.0,Highly Active,Low Active,7
2919,75,97.1,27177,4.1,Highly Active,Highly Active,2
2415,54,98.4,1515,8.1,Sedentary,Sedentary,6
2158,67,97.6,7182,6.6,Highly Active,Low Active,6
2218,83,96.0,6580,6.8,Sedentary,Low Active,6
1400,78,98.7,2913,5.2,Sedentary,Sedentary,9
1639,76,99.0,4650,8.1,Highly Active,Sedentary,10
4104,61,96.0,1878,7.5,Sedentary,Sedentary,5
3735,58,99.7,7913,5.7,Active,Active,7
1459,89,100.0,3791,6.5,Sedentary,Sedentary,7
1954,100,96.2,166,5.2,Highly Active,Sedentary,3
4954,83,100.0,21080,5.0,Active,Highly Active,2
1469,72,98.0,4871,5.6,Sedentary,Sedentary,7
4446,93,97.9,8560,6.1,Active,Active,5
2045,75,100.0,1535,6.5,Active,Sedentary,5
3797,90,99.7,952,6.4,Sedentary,Sedentary,2
2693,66,96.8,16289,5.2,Active,Highly Active,8
3085,66,97.0,6257,7.6,Active,Low Active,4
3277,70,98.7,4759,6.5,Highly Active,Sedentary,6
4436,73,98.6,5154,7.9,Sedentary,Low Active,10
1562,88,97.9,1886,7.6,Active,Sedentary,2
3485,55,96.6,17067,2.7,Highly Active,Highly Active,3
2799,65,96.9,1687,5.0,Highly Active,Sedentary,10
4354,78,98.0,1203,4.3,Active,Sedentary,6
3074,83,94.8,18619,3.8,Highly Active,Highly Active,8
1225,49,99.0,2084,8.2,Sedentary,Sedentary,6
4348,63,98.5,13888,9.0,Sedentary,Highly Active,9
1797,48,96.1,10364,6.5,Active,Highly Active,5
3331,68,94.6,2051,6.0,Active,Sedentary,7
3926,82,98.7,9960,8.3,Active,Active,9
1959,40,99.8,6372,6.9,Sedentary,Low Active,5
2504,84,98.8,2051,5.7,Active,Sedentary,3
1452,67,99.2,15507,7.3,Active,Highly Active,3
4067,69,99.3,8935,6.5,Active,Active,8
4900,89,98.8,16799,6.8,Sedentary,Highly Active,4
1815,95,97.9,4027,7.5,Sedentary,Sedentary,10
1658,65,97.4,960,12.1,Active,Sedentary,3
4587,65,98.0,18046,9.2,Sedentary,Highly Active,2
1546,69,99.2,6439,6.7,Active,Low Active,6
2215,64,100.0,6520,5.1,Active,Low Active,9
4120,53,100.0,6143,3.1,Sedentary,Low Active,10
4583,74,95.7,4475,8.4,Active,Sedentary,1
1441,65,96.7,2061,8.2,Unknown,Sedentary,8
4243,76,94.3,6645,5.6,Sedentary,Low Active,4
2243,100,94.9,8875,6.4,Sedentary,Active,4
3205,73,94.4,17383,6.8,Active,Highly Active,8
3524,63,93.5,524,7.4,Highly Active,Sedentary,9
2069,70,97.5,2057,9.0,Active,Sedentary,5
4444,76,100.0,10494,4.5,Active,Highly Active,6
3565,72,98.7,10446,7.5,Unknown,Highly Active,5
3146,66,99.4,1668,6.8,Sedentary,Sedentary,7
4963,50,98.1,1429,5.7,Sedentary,Sedentary,2
2768,84,98.3,3202,7.7,Sedentary,Sedentary,1
3327,96,97.7,9174,6.4,Active,Active,9
4420,75,98.3,7756,7.0,Sedentary,Active,4
3544,67,97.2,13699,5.8,Active,Highly Active,10
1301,67,95.6,3935,7.5,Highly Active,Sedentary,7
1180,77,97.7,7088,5.9,Sedentary,Low Active,2
1606,62,95.6,21546,9.0,Highly Active,Highly Active,8
4170,64,99.8,22325,6.8,Active,Highly Active,4
1699,84,99.0,516,5.5,Active,Sedentary,4
1992,59,100.0,13,7.0,Sedentary,Sedentary,6
2139,83,96.4,22529,8.0,Sedentary,Highly Active,1
1190,87,95.3,5364,4.1,Highly Active,Low Active,9
3300,85,94.9,8437,8.4,Sedentary,Active,1
1980,78,100.0,17060,7.0,Active,Highly Active,3
3975,47,97.2,3973,6.5,Highly Active,Sedentary,6
3006,56,95.0,4066,5.5,Active,Sedentary,9
2184,54,98.9,1278,7.0,Active,Sedentary,9
4662,69,97.3,16538,5.2,Active,Highly Active,5
4394,75,96.1,7302,3.5,Active,Low Active,10
1127,57,100.0,1391,5.4,Sedentary,Sedentary,2
3065,72,97.7,5743,6.1,Active,Low Active,5
2816,85,99.1,2784,7.4,Highly Active,Sedentary,8
2758,60,98.9,1114,6.2,Sedentary,Sedentary,8
